date,siddet,city
December,3.0,ERZURUM
December,2.0,GAZIANTEP
December,2.1,
December,3.1,
December,1.8,
December,2.0,ERZURUM
December,1.7,KAYSERI
December,2.0,MUGLA
December,2.0,MUGLA
December,1.8,KAHRAMANMARAS
December,1.8,MUGLA
December,1.5,CANAKKALE
December,1.9,MUGLA
December,2.0,KUTAHYA
December,2.2,
December,1.9,KUTAHYA
December,1.4,ANKARA
December,2.1,MALATYA
December,2.1,
December,2.6,MANISA
December,3.3,
December,1.5,IZMIR
December,2.7,
December,1.9,
December,3.3,MANISA
December,3.2,MANISA
December,1.8,MANISA
December,2.7,MANISA
December,1.8,MUGLA
December,2.0,MUGLA
December,1.3,ISTANBUL
December,2.4,ANKARA
December,2.4,
December,1.8,VAN
December,2.3,
December,2.0,MUGLA
December,2.5,
December,1.8,MUGLA
December,3.0,VAN
December,2.2,MUGLA
December,1.9,
December,1.8,
December,1.9,ISTANBUL
December,1.7,MERSIN
December,1.9,MUGLA
December,1.8,ANTALYA
December,2.2,
December,2.1,
December,1.8,ANTALYA
December,2.0,TRABZON
December,1.4,ERZINCAN
December,2.1,BALIKESIR
December,1.9,ELAZIG
December,2.1,
December,2.2,ANKARA
December,2.8,MANISA
December,2.0,GAZIANTEP
December,2.3,
December,2.0,ADIYAMAN
December,1.8,MUGLA
December,2.6,
December,1.8,
December,1.9,ERZURUM
December,2.3,
December,2.2,MALATYA
December,2.5,ERZURUM
December,1.9,
December,2.2,MANISA
December,1.8,BALIKESIR
December,1.8,
December,3.0,
December,2.0,
December,2.2,
December,1.9,MUGLA
December,1.5,ANTALYA
December,1.8,
December,2.2,
December,2.2,
December,2.0,
December,2.4,
December,2.1,
December,1.6,
December,1.6,
December,2.4,
December,1.9,KIRIKKALE
December,2.3,
December,2.0,GAZIANTEP
December,1.6,
December,1.6,MUGLA
December,1.7,MUGLA
December,1.9,MUGLA
December,2.0,MUGLA
December,1.9,MUGLA
December,2.3,ANTALYA
December,2.0,MUGLA
December,2.0,ERZINCAN
December,1.6,MUGLA
December,1.6,MUGLA
December,2.2,ERZURUM
December,1.8,MANISA
December,1.7,MUGLA
December,2.5,CANAKKALE
December,2.5,
December,2.5,
December,2.1,
December,2.2,
December,1.8,CANAKKALE
December,1.7,DUZCE
December,2.0,
December,2.6,CANAKKALE
December,2.1,
December,2.1,SAKARYA
December,2.6,
December,1.9,VAN
December,2.1,MERSIN
December,2.0,MERSIN
December,1.4,KONYA
December,2.8,KUTAHYA
December,1.9,ADANA
December,2.1,
December,1.9,MUGLA
December,3.0,
December,3.6,
December,2.3,
December,1.9,TEKIRDAG
December,1.9,
December,1.7,KUTAHYA
December,1.7,
December,2.1,MUGLA
December,1.4,ANKARA
December,1.7,MUGLA
December,2.2,MUGLA
December,3.2,
December,2.1,TOKAT
December,2.5,
December,2.0,MUGLA
December,1.9,MUGLA
December,2.0,MUGLA
December,1.9,MUGLA
December,1.8,MUGLA
December,1.7,MUGLA
December,3.6,
December,1.8,MUGLA
December,2.0,MUGLA
December,2.0,GAZIANTEP
December,1.8,MUGLA
December,1.7,MUGLA
December,2.7,ERZINCAN
December,2.5,ERZINCAN
December,2.8,ERZINCAN
December,2.9,ERZINCAN
December,2.2,VAN
December,2.5,VAN
December,2.0,VAN
December,2.0,MUGLA
December,3.7,AGRI
December,2.0,MERSIN
December,2.9,
December,2.3,ISTANBUL
December,2.0,
December,2.4,ERZURUM
December,2.1,MUGLA
December,2.0,MUGLA
December,2.4,ERZINCAN
December,2.1,ERZINCAN
December,2.0,ERZINCAN
December,2.6,ERZINCAN
December,2.0,ERZINCAN
December,2.3,ERZINCAN
December,2.5,CANAKKALE
December,2.5,
December,2.2,
December,2.1,
December,2.0,ADANA
December,2.1,MUGLA
December,2.2,
December,2.0,
December,1.8,ANKARA
December,2.1,MUGLA
December,2.4,ELAZIG
December,1.9,ANKARA
December,1.9,MUGLA
December,2.1,KUTAHYA
December,1.5,KAHRAMANMARAS
December,1.7,MUGLA
December,2.0,DENIZLI
December,2.2,IZMIR
December,1.9,MUGLA
December,2.0,MUGLA
December,3.2,MALATYA
December,3.2,
December,1.6,MERSIN
December,1.9,GAZIANTEP
December,1.9,GAZIANTEP
December,1.5,MUGLA
December,1.8,MERSIN
December,1.9,KUTAHYA
December,1.7,DENIZLI
December,2.6,
December,2.5,
December,1.8,MUGLA
December,3.5,ADIYAMAN
December,3.0,
December,2.0,
December,1.9,
December,1.7,DENIZLI
December,2.4,DENIZLI
December,1.9,TUNCELI
December,2.1,TUNCELI
December,1.6,MUS
December,1.7,MUS
December,1.6,MUGLA
December,1.8,
December,2.0,TUNCELI
December,1.9,ERZURUM
December,1.8,
December,2.9,
December,2.0,CORUM
December,3.0,
December,2.2,ADANA
December,2.8,ADANA
December,1.6,MUGLA
December,1.5,MUGLA
December,2.1,MUGLA
December,2.4,ERZURUM
December,2.5,MUGLA
December,1.9,
December,1.8,MUGLA
December,1.8,MUGLA
December,1.8,MUGLA
December,1.9,DENIZLI
December,1.9,MUGLA
December,2.8,
December,1.8,ESKISEHIR
December,1.8,KONYA
December,1.8,ANKARA
December,1.7,MUGLA
December,2.4,AGRI
December,3.5,
December,2.0,ADANA
December,1.8,MUGLA
December,1.7,DENIZLI
December,1.6,ADANA
December,1.8,ADANA
December,2.2,MUGLA
December,2.0,MUGLA
December,2.3,MUGLA
December,2.3,ADANA
December,2.4,
December,1.9,MUGLA
December,1.6,MUGLA
December,2.0,MANISA
December,1.5,MERSIN
December,2.6,
December,1.9,ESKISEHIR
December,1.3,MUGLA
December,2.0,ADANA
December,2.4,ADANA
December,1.7,
December,2.1,ANKARA
December,2.4,CANAKKALE
December,1.8,ANKARA
December,2.5,
December,2.9,ERZURUM
December,1.8,KUTAHYA
December,2.5,
December,2.1,IZMIR
December,3.2,
December,2.7,
